PST_PT_C,SPOT_NUM,PST_SEV_CD,PST_SEV_DS,PST_SPC_CD,PST_CMN_NM,PST_LTN_NM,PST_CM_CD,PST_CM_DSC,CPTR_YR,NUM_TREES,AREA_HA,ORG_UNITNO,TR_SPCS_CD,TR_CM_NM,COMMENTS,GEOMETRY,OBJECTID,X,Y
1876,269072021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,1828,FD,Douglas-fir,,,1625045,-121.39749833069915,50.52504964684019
1877,269102021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,1828,FD,Douglas-fir,,,1625048,-121.40185007740709,50.52713419498108
1878,269122021,S,Severe,NDM,Drought - Mortality,,OS,Overview Survey Sketchmapping Fixed Wing,2021,3,0.25,23,CW,western redcedar,,,1625050,-122.63095151027069,50.57140303667799
1879,269142021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,1828,FD,Douglas-fir,,,1625052,-121.65638859395455,50.5381833978322
1880,255432021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,3,0.25,1831,FD,Douglas-fir,,,1623681,-115.10010648701476,49.386150354931196
1881,255442021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,20,0.25,57,FD,Douglas-fir,,,1623682,-117.49160817651607,49.60173569742035
1882,255452021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,3,0.25,1831,FD,Douglas-fir,,,1623683,-115.08823905242605,49.385940170914346
1883,255462021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,15,FD,Douglas-fir,,,1623684,-121.42074934673688,49.83933802603209
1884,255472021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,29,FD,Douglas-fir,,,1623685,-119.85914837620638,49.76277113529266
1885,255482021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,1831,FD,Douglas-fir,,,1623686,-115.20754085243858,49.399896346321036
1886,255492021,S,Severe,IBM,Mountain Pine Beetle,Dendroctonus ponderosae,OS,Overview Survey Sketchmapping Fixed Wing,2021,30,0.25,1831,PL,lodgepole pine,,,1623687,-115.63686833528814,49.44296903988009
1887,255502021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,29,FD,Douglas-fir,,,1623688,-119.99302531361353,49.77248372211419
1888,255532021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,29,FD,Douglas-fir,,,1623691,-119.98109107735598,49.77355664971324
1889,255552021,S,Severe,DSB,White pine Blister Rust,Cronartium ribicola,OS,Overview Survey Sketchmapping Fixed Wing,2021,1,0.25,27,PW,western white pine,,,1623693,-124.62629055562033,49.93080043527795
1890,255582021,S,Severe,NDM,Drought - Mortality,,OS,Overview Survey Sketchmapping Fixed Wing,2021,1,0.25,23,CW,western redcedar,,,1623696,-123.41985675207198,49.90956052810198
1891,255602021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,3,0.25,1831,FD,Douglas-fir,,,1623698,-115.4355709191122,49.42664451917715
2487,304902021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,52,FD,Douglas-fir,,,1628628,-123.14008997759413,52.082781092070874
2488,304922021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,1,0.25,1832,BL,subalpine fir,,,1628630,-126.82306876993536,52.11624356276207
2489,304942021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,52,SX,spruce hybrid,,,1628632,-125.06107305940574,52.116662778909635
2490,304952021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,52,FD,Douglas-fir,,,1628633,-122.38661204253538,52.06440183837672
2491,304972021,S,Severe,IBM,Mountain Pine Beetle,Dendroctonus ponderosae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,52,PL,lodgepole pine,,,1628635,-125.53577032533913,52.12262028557685
2492,304982021,S,Severe,IBM,Mountain Pine Beetle,Dendroctonus ponderosae,OS,Overview Survey Sketchmapping Fixed Wing,2021,3,0.25,1832,PL,lodgepole pine,,,1628636,-125.70850331878844,52.12320318846268
2493,305002021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,1832,BL,subalpine fir,,,1628638,-126.00832743855972,52.1238212394632
2494,305022021,S,Severe,NF,Flooding,,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,52,SX,spruce hybrid,,,1628640,-124.88479909285593,52.12009236085544
2495,305042021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,3,0.25,52,FD,Douglas-fir,,,1628642,-122.36396038181132,52.068670167588614
2496,305052021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,52,FD,Douglas-fir,,,1628643,-122.00498980896676,52.056987001518614
